S_NO,NAME_OF_THE_VESSEL,QUANTITY,DISCHARGE_COMPLETED,PORT,pono,SUPPLIER,,A,B,C
5,M.V REAL HAPPINESS,74796,19.01.19,ENNORE ,117,m/s_mbg_commodities_,,19,1,19
6,M.V CK ANGIE,78500,22.01.19,ENNORE ,117,m/s_mbg_commodities_,,22,1,19
7,M.V COUNTESS I,75500,10.02.19,ENNORE ,117,m/s_mbg_commodities_,,10,2,19
8,M.V ROSCO LITCHI,79059,18.02.19,ENNORE ,117,m/s_mbg_commodities_,,18,2,19
9,M.V AGIA VALENTINI,78800,17.03.19,ENNORE ,117,m/s_mbg_commodities_,,17,3,19
10,M.V  OCEAN PRINCE,75751,30.03.19,ENNORE ,117,m/s_mbg_commodities_,,30,3,19
11,M.V BEKS YILMAZ,78405,26.04.19,ENNORE ,117,m/s_mbg_commodities_,,26,4,19
12,M.V ANTONIO S ,79285,08.05.19,ENNORE ,117,m/s_mbg_commodities_,,8,5,19
13,M.V  NESTOR,72048,21.05.19,ENNORE ,117,m/s_mbg_commodities_,,21,5,19
14,M.V YASA FORTUNE ,73500,26.07.19,ENNORE ,117,m/s_mbg_commodities_,,26,7,19
15,M.V CAPTAIN GEORGE,79500,20.08.19,ENNORE ,117,m/s_mbg_commodities_,,20,8,19
16,M.V.KINOURA,79780,20.09.19,ENNORE ,117,m/s_mbg_commodities_,,20,9,19
0,M.V. ATHERINA  ,22921,7.10.19,ENNORE ,117,m/s_mbg_commodities_,,7,10,19
1,DIRECT PURCHASE,35000,31.10.2018,CICTPL_METTUR,118,m/s_sree_rayalseema_,,31,10,18
1,THROUGH RAKES,30000,05-10-2018,KARAIKAL,119,m/s_tamilnadu_papers,,5,10,18
1,M.V PANORAMA,79464,25.01.19,ENNORE ,120,m/s_knowledge_intern,,25,1,19
2,M.VKMARIN GOTEBORG,78148,02.02.19,ENNORE ,120,m/s_knowledge_intern,,2,2,19
3,M.V ELINDA MARE,75499,15.02.19,ENNORE ,120,m/s_knowledge_intern,,15,2,19
4,M.V OCEAN ROSEMARY,79655,26.02.19,ENNORE ,120,m/s_knowledge_intern,,26,2,19
5,M.V.OCEANIC,80565,20.03.19,ENNORE ,120,m/s_knowledge_intern,,20,3,19
6,M.V DL IVY,78620,10.04.19,ENNORE ,120,m/s_knowledge_intern,,10,4,19
7,M.V KMARIN KENAI,78000,19.04.19,ENNORE ,120,m/s_knowledge_intern,,19,4,19
8,M.V.VALIANT SPRING,79665,28.04.19,ENNORE ,120,m/s_knowledge_intern,,28,4,19
9,M.V. CIHAN,77850,11.05.19,ENNORE ,120,m/s_knowledge_intern,,11,5,19
10,M.V OCEAN ZENON,73246,08.06.19,ENNORE ,120,m/s_knowledge_intern,,8,6,19
11,M.V.DARYA AOM,78750,01.07.19,ENNORE ,120,m/s_knowledge_intern,,1,7,19
12,M.V NORD POLARIS,76515,23.07.19,ENNORE ,120,m/s_knowledge_intern,,23,7,19
13,M.V ANDROMACHE,78900,11.08.19,ENNORE ,120,m/s_knowledge_intern,,11,8,19
1,M.V GEORGITIS,77650,28.01.19,ENNORE ,121,m/s.mbg_commodities_,,28,1,19
2,M.V AENEAS,78500,21.02.19,ENNORE ,121,m/s.mbg_commodities_,,21,2,19
3,M.V STAR MARKELLA,80500,04.03.19,ENNORE ,121,m/s.mbg_commodities_,,4,3,19
4,M.V KAVO MANALI,75900,24.03.19,ENNORE ,121,m/s.mbg_commodities_,,24,3,19
5,M.V AOM GEORGINA,80450,04.04.19,ENNORE ,121,m/s.mbg_commodities_,,4,4,19
6,M.V MBA LIBERTY,79150,14.04.19,ENNORE ,121,m/s.mbg_commodities_,,14,4,19
7,M.V ALEXANDRA ,80753,04.05.19,ENNORE ,121,m/s.mbg_commodities_,,4,5,19
8,M.V MEDI MATSUURA,75550,24.05.19,ENNORE ,121,m/s.mbg_commodities_,,24,5,19
9,M.V GLORY FIRST,74008,28.05.19,ENNORE ,121,m/s.mbg_commodities_,,28,5,19
10,M.V.GIORGIS,79260,14.06.19,ENNORE ,121,m/s.mbg_commodities_,,14,6,19
11,M.V.MASTRO NIKOS,70700,17.06.19,ENNORE ,121,m/s.mbg_commodities_,,17,6,19
12,M.V LYRIC STAR,78150,17.07.19,ENNORE ,121,m/s.mbg_commodities_,,17,7,19
13,M.V.SUPER LUNA,77000,01.08.19,ENNORE ,121,m/s.mbg_commodities_,,1,8,19
14,M.V KM TOKYO,78900,17.08.19,ENNORE ,121,m/s.mbg_commodities_,,17,8,19
15,M.V AEOLINA FORTUNE,75000,22.09.19,ENNORE ,121,m/s.mbg_commodities_,,22,9,19
16,M.V YASA GULTEN,54400,25.09.19,ENNORE ,121,m/s.mbg_commodities_,,25,9,19
17,M.V. ATHERINA  ,34129,07.10.19,ENNORE ,121,m/s.mbg_commodities_,,7,10,19
1,M.V.NEW ENDEAVOR,78195,09.09.19,ENNORE ,123,m/s_knowledge_intern,,9,9,19
